"Data","Último","Abertura","Máxima","Mínima","Var%"
"25.06.2023","10,967","10,967","10,967","10,967","0,00%"
"24.06.2023","10,967","10,967","10,967","10,967","-0,07%"
"23.06.2023","10,975","11,005","11,005","10,972","-0,72%"
"22.06.2023","11,055","11,000","11,055","11,000","0,18%"
"21.06.2023","11,035","11,130","11,130","11,035","-1,24%"
"20.06.2023","11,173","11,225","11,225","11,150","-0,17%"
"19.06.2023","11,192","11,215","11,215","11,160","-0,31%"
"18.06.2023","11,226","11,226","11,226","11,226","0,00%"
"17.06.2023","11,226","11,226","11,226","11,226","0,62%"
"16.06.2023","11,157","11,290","11,290","11,153","-0,23%"
"15.06.2023","11,183","11,155","11,230","11,155","-1,03%"
"14.06.2023","11,299","11,355","11,370","11,296","-0,68%"
"13.06.2023","11,376","11,285","11,378","11,285","1,25%"
"12.06.2023","11,236","11,250","11,255","11,234","0,62%"
"11.06.2023","11,167","11,167","11,167","11,167","0,00%"
"10.06.2023","11,167","11,167","11,167","11,167","-0,32%"
"09.06.2023","11,203","11,195","11,203","11,180","-0,21%"
"08.06.2023","11,227","11,227","11,227","11,227","-0,28%"
"07.06.2023","11,258","11,130","11,258","11,130","0,92%"
"06.06.2023","11,155","11,150","11,165","11,145","-0,26%"
"05.06.2023","11,184","11,440","11,440","11,184","-1,69%"
"04.06.2023","11,377","11,377","11,377","11,377","0,00%"
"03.06.2023","11,377","11,377","11,377","11,377","0,01%"
"02.06.2023","11,375","11,435","11,435","11,375","-1,34%"
"01.06.2023","11,530","11,585","11,585","11,530","-0,20%"
"31.05.2023","11,553","11,550","11,553","11,540","0,06%"
"30.05.2023","11,546","11,565","11,565","11,540","-0,46%"
"29.05.2023","11,599","11,595","11,599","11,595","-0,15%"
"28.05.2023","11,616","11,616","11,616","11,616","0,00%"
"27.05.2023","11,616","11,616","11,616","11,616","0,37%"
"26.05.2023","11,573","11,645","11,645","11,573","-0,47%"
"25.05.2023","11,628","11,595","11,635","11,595","-0,46%"
"24.05.2023","11,682","11,605","11,682","11,605","-0,40%"
